Comunidades,Edad (grupos quinquenales),Año,Total
Ceuta,5-9 años,2019,6024
Ceuta,10-14 años,2019,6158
Ceuta,15-19 años,2019,5430
Ceuta,20-24 años,2019,5438
Ceuta,25-29 años,2019,5657
Ceuta,30-34 años,2019,5861
Ceuta,35-39 años,2019,6388
Ceuta,40-44 años,2019,6579
Ceuta,45-49 años,2019,6121
Ceuta,50-54 años,2019,5979
Ceuta,55-59 años,2019,5569
Ceuta,60-64 años,2019,4431
Ceuta,65-69 años,2019,3073
Ceuta,70-74 años,2019,2411
Ceuta,75-79 años,2019,1875
Ceuta,80-84 años,2019,1373
Ceuta,85-89 años,2019,819
Ceuta,90-94 años,2019,288
Ceuta,95-99 años,2019,73
Ceuta,100 años y más,2019,17
Melilla,0-4 años,2019,6725
Melilla,5-9 años,2019,6913
Melilla,10-14 años,2019,6089
Melilla,15-19 años,2019,5877
Melilla,20-24 años,2019,6033
Melilla,25-29 años,2019,5915
Melilla,30-34 años,2019,5933
Melilla,35-39 años,2019,6472
Melilla,40-44 años,2019,6205
Melilla,45-49 años,2019,5809
Melilla,50-54 años,2019,5818
Melilla,55-59 años,2019,5375
Melilla,60-64 años,2019,4447
Melilla,65-69 años,2019,2910
Melilla,70-74 años,2019,2025
Melilla,75-79 años,2019,1607
Melilla,80-84 años,2019,1247
Melilla,85-89 años,2019,710
Melilla,90-94 años,2019,302
Melilla,95-99 años,2019,64
Melilla,100 años y más,2019,11
